# feature|status|evidence
Lexical bindings and assignment|implemented|`tests/cli.rs`
List and map destructuring declarations|implemented|`tests/cli.rs` and `tests/vm.rs`
Literals: integers, strings, booleans, nil, lists, and maps|implemented|`tests/cli.rs`
Arithmetic and comparisons|implemented|`tests/cli.rs` and `tests/vm.rs`
Short-circuit logical `&&` and `||`|implemented|`tests/cli.rs`
Functions, blocks, conditionals, and captures|implemented|`tests/cli.rs` and `tests/vm.rs`
Literal and list pattern matching|implemented|`tests/cli.rs` and `tests/vm.rs`
`name @ pattern` whole-value bindings|implemented|`tests/cli.rs` and `tests/vm.rs`
Pinned `^name` patterns|implemented|`tests/cli.rs` and `tests/vm.rs`
Non-binding match-case alternatives|implemented|`tests/cli.rs` and `tests/vm.rs`
Non-exact string-key map patterns|implemented|`tests/cli.rs` and `tests/vm.rs`
Computed map-pattern keys|implemented|`tests/cli.rs` and `tests/vm.rs`
Named map rest captures|implemented|`tests/cli.rs`
Anonymous list and map rest patterns|implemented|`tests/cli.rs`
Exact map patterns|implemented|`tests/cli.rs` and `tests/vm.rs`
Match guards|implemented|`tests/cli.rs`
Function match bodies|implemented|`tests/cli.rs`
Explicit function return|implemented|`tests/cli.rs`
Language-level `throw` with checked payloads|implemented|`tests/cli.rs` and `tests/vm.rs`
Plain `defer` cleanup on returns and errors|implemented|`tests/cli.rs`
`defer onsuccess` cleanup|implemented|`tests/cli.rs`
`defer onerror` cleanup and recovery|implemented|`tests/cli.rs` and `tests/vm.rs`
Tail-position `recur(...)`|implemented|`tests/cli.rs` and `tests/vm.rs`
List, map, and dot indexing|implemented|`tests/cli.rs`
Untyped struct schemas, construction, defaults, and field access|implemented|`tests/cli.rs` and `tests/vm.rs`
Native function calls and `println`|implemented|`tests/cli.rs` and `tests/vm.rs`
Checked source and runtime diagnostics with locations|implemented|`tests/cli.rs` and `tests/vm.rs`
Full language specification|specified only|`language/language-specification.md`
Modules, standard library, and concurrency|specified only|`language/runtime-requirements.md`
